epoch,d_loss,g_adv,g_l1,g_total,val_psnr,val_ssim,epoch_seconds
1,0.5851146489029794,1.1954703610620898,0.0987532303110184,11.070793381692052,12.631501517700084,0.4220180088345144,111.2800714969635
2,0.5952957771860976,1.0967827188050117,0.06410367068644986,7.5071497867292445,20.8311690223388,0.8094596770670215,107.89514994621277
3,0.5799832448229211,1.1862382503924105,0.058805454993794415,7.066783747066931,17.95734880811461,0.5996449923325113,108.14294815063477
4,0.5719071443960557,1.2292694741539465,0.056348551121300466,6.864124586933509,10.127823849097283,0.29980759652184147,108.15908360481262
5,0.5571209827963896,1.3048922885230274,0.05477849147057305,6.782741424069227,21.52835156662334,0.7697307452509492,108.21410465240479
6,0.5400602794739473,1.398237199068941,0.053960151850959315,6.794252379806828,15.684757599461573,0.7158004275476401,108.01362156867981
7,0.5145482329653809,1.523519024688696,0.053490754367764806,6.872594456704851,17.021972864252657,0.5154736969077066,108.21645188331604
8,0.5038541511405171,1.6050171362507473,0.053029257026831,6.90794283547203,15.778579089900601,0.7521012232050257,108.37247943878174
9,0.5032112414375601,1.639696654854227,0.05250592319414237,6.890288976233776,20.8106770260782,0.8184326923884561,108.32282376289368
10,0.4725775536070122,1.7801417217069253,0.05255775513175636,7.035917232892109,10.234636255628008,0.22495821865786234,108.02239346504211
11,0.46042920918915214,1.856124401978019,0.05235379543763044,7.09150394492262,19.932019498982044,0.7365303020366588,108.2242078781128
12,0.4516604012182177,1.9503741609267848,0.05212510749278643,7.162884896598061,18.844004540516234,0.6362726337811018,108.39265322685242
13,0.4255642060094059,2.0535843967553333,0.0520480093436213,7.258385324639062,19.866622160462853,0.7506812372918882,109.0428683757782
14,0.43806159486459867,2.0416189369583697,0.05167648827717865,7.2092677529134415,19.837076760418437,0.7900492806344799,110.05648398399353
15,0.4040179471008656,2.241921227513336,0.05199970374946117,7.441891594866398,17.114538782382798,0.5926789766585912,108.42621564865112
16,0.37956783421656076,2.360831061517453,0.0521150474175727,7.572335799579814,20.793969550281147,0.824574396996794,108.11382579803467
17,0.3871388862892164,2.3657753059977855,0.052014609545268146,7.567236270223345,13.871920124823328,0.4703003118888728,108.31837463378906
18,0.3646963149240016,2.4707214585421617,0.05219267200179926,7.6899886616705775,20.932465594503512,0.7342809441191283,107.99146389961243
19,0.353775082047111,2.601142558802042,0.05221751335006798,7.822893883970108,12.43248444672357,0.40606591304403955,108.33911800384521
20,0.3563801066088831,2.577451435395457,0.051950864074804114,7.77253783620785,22.37392587522814,0.8535921229790596,108.64859771728516
21,0.33004127485579127,2.71658249971791,0.05211074677315888,7.927657175520006,21.89148786294775,0.851502123035273,108.18822979927063
22,0.3392526381858598,2.7377659033416144,0.05213190912907049,7.950956816480184,22.229445590605412,0.8548595119968764,107.8146984577179
23,0.3350025848784097,2.754862344792873,0.05199131386352471,7.95399372730534,22.028839883042547,0.8030402575851252,106.93405842781067
24,0.31938317414379447,2.8499360840856145,0.05209053420075147,8.058989500972633,21.927008660589923,0.8124237680441067,108.23880290985107
25,0.32235017243361036,2.875675408559599,0.05205961382823197,8.081636799736152,23.65159255374287,0.8738247468342799,107.98195552825928
26,0.3235827179508298,2.803022388360464,0.05192430501152144,7.995452893732369,22.26381978074177,0.8445600408825832,107.53748822212219
27,0.3206073909430137,2.864453489275144,0.05192350193070346,8.056803684534989,17.854485120840156,0.6323566656489069,108.30001211166382
28,0.319358786924232,2.922251394506716,0.05184432643982168,8.106684032521715,20.33253418459965,0.8073722287360903,108.46246552467346
29,0.29267622724477166,3.02549513357747,0.05186848695671733,8.212343822179951,22.09160999122129,0.8423653410715446,109.5904495716095
30,0.301159095064673,2.9831046186011974,0.051887377019640565,8.171842318283828,22.391103834059688,0.8643231570749832,111.15378665924072
31,0.2926086580691937,3.0503729511046083,0.05191671301865336,8.242044251466629,15.087352696387788,0.5564488370312359,108.47826528549194
32,0.2868915755826565,3.1479267057511198,0.052098517573288775,8.357778459887939,22.130797144337503,0.8151040563791584,108.31534624099731
33,0.2856726781273925,3.1577163844660587,0.05208405834089449,8.366122222456273,17.51118124698892,0.6847703134091514,108.0659487247467
34,0.29480273835282433,3.165062484485427,0.05231577598807246,8.39664007386421,20.559002766345454,0.8131461115860881,108.32646775245667
35,0.2715934281817798,3.249155464031104,0.05219696262690026,8.468851722131564,18.985757903186432,0.7675592603693676,112.17550826072693
36,0.28954890513864917,3.1996813409289198,0.05192079062964369,8.391760398888346,20.673792226936772,0.8139967304612866,110.50568175315857
37,0.2892783468356618,3.123916554459579,0.05183815927201771,8.307732470258149,21.894965666891792,0.8250757371132034,109.37590479850769
